CustomerID,Workday_working_call_duration,Workday_after_work_call_duration,Weekend_call_duration,International_call_duration,Total_call_duration,Average_call_duration
K108270,504.00,242.10,43.00,255.54,789.10,3.81
K108350,624.00,234.60,61.20,213.61,919.80,6.52
K108410,629.40,206.70,61.20,182.44,897.30,6.46
K108420,699.60,229.50,6.60,195.86,935.70,9.95
K108520,434.40,186.00,79.80,202.92,700.20,4.12
K108560,553.20,286.50,76.00,208.00,915.70,4.84
K108620,502.20,378.60,48.60,286.05,929.40,2.90
K108670,783.60,61.80,90.60,225.78,936.00,4.24
K108690,555.60,393.90,32.00,286.87,981.50,4.07
K108770,394.20,309.90,77.40,190.13,781.50,3.79
K108940,619.80,62.10,25.80,188.60,707.70,10.11
K109230,447.00,392.70,2.40,230.04,842.10,31.19
K109780,469.80,437.40,21.00,183.84,928.20,13.85
K109990,534.60,117.00,29.00,190.53,680.60,27.22
K110000,553.20,277.20,107.40,234.08,937.80,11.44
K110060,409.80,236.70,50.00,189.48,696.50,4.00
K110070,502.80,344.70,20.40,193.86,867.90,3.68
K110210,551.40,277.80,133.00,270.08,962.20,3.66
K110280,670.80,246.00,43.50,208.68,960.30,4.49
K110710,417.60,322.80,12.00,190.52,752.40,4.82
K110730,464.40,307.50,42.00,183.85,813.90,7.33
K110810,898.80,771.90,49.00,513.00,1719.70,2.39
K110830,1602.60,90.00,44.40,208.14,1737.00,1.69
K110840,557.40,409.20,61.80,275.09,1028.40,2.62
K110870,1242.00,175.80,100.50,218.71,1518.30,1.79
K110900,664.20,389.10,136.50,336.64,1189.80,3.98
K110950,2376.00,418.20,49.80,514.27,2844.00,2.23
K110970,1743.00,309.00,67.00,268.12,2119.00,1.71
K110980,1315.80,135.90,61.20,486.34,1512.90,2.09
K111000,1341.60,38.70,75.00,230.33,1455.30,1.67
K111200,1023.00,444.30,66.00,372.31,1533.30,1.59
K111260,2221.80,411.90,32.00,646.81,2665.70,2.47
K111340,1398.60,171.00,30.60,460.59,1600.20,1.69
K111430,1713.00,883.80,87.00,203.69,2683.80,2.11
K111440,1009.80,288.00,23.40,202.61,1321.20,2.10
K111520,687.00,441.30,56.00,227.87,1184.30,2.40
K111680,1992.60,21.30,41.40,393.80,2055.30,1.71
K111720,853.80,493.20,72.60,399.64,1419.60,2.04
K111740,1330.80,47.70,42.60,267.56,1421.10,2.11
K111780,856.20,211.20,79.80,350.92,1147.20,2.77
K111900,874.80,60.00,93.00,244.91,1027.80,1.81
K112210,854.40,300.60,18.00,326.45,1173.00,2.49
K112450,654.60,531.30,19.80,245.79,1205.70,1.79
K112640,1752.00,457.20,29.40,728.37,2238.60,1.68
K112770,1933.80,337.80,87.00,482.56,2358.60,1.84
K112960,1051.80,55.80,43.20,238.34,1150.80,1.67
K112970,2187.60,115.20,23.50,547.01,2326.30,2.11
K113010,1131.60,161.10,27.60,236.95,1320.30,1.99
K113130,879.60,298.80,15.00,188.98,1193.40,1.92
K113200,1143.00,470.70,100.20,381.05,1713.90,2.35
K113260,918.00,224.40,37.00,318.61,1179.40,2.42
K113490,1132.20,440.40,45.60,208.34,1618.20,2.49
K113560,2370.60,277.20,7.80,674.26,2655.60,1.85
K113580,1982.40,390.00,66.60,595.27,2439.00,1.92
K113670,648.00,489.30,18.00,365.31,1155.30,2.44
K113710,990.60,39.60,15.00,212.17,1045.20,1.85
K113840,1132.80,434.10,84.00,222.48,1650.90,2.14
K113930,2366.40,174.30,185.40,892.56,2726.10,2.16
K114040,778.20,403.50,73.00,334.29,1254.70,2.34
K114060,1440.00,38.40,77.40,354.80,1555.80,1.74
K114130,908.40,263.10,131.40,215.44,1302.90,2.33
K114170,1564.80,337.80,92.40,193.69,1995.00,1.99
K114350,1599.60,28.80,43.20,427.86,1671.60,1.78
K114390,943.20,388.80,31.20,258.83,1363.20,1.81
K114480,1005.00,497.10,2.00,482.55,1504.10,2.00
K114530,1748.40,602.70,38.40,295.78,2389.50,2.71
K114730,760.80,618.00,28.00,356.61,1406.80,2.57
K114820,984.60,186.00,28.00,186.68,1198.60,2.36
K114850,777.00,701.10,25.00,351.79,1503.10,1.59
K114920,685.20,450.60,45.60,221.64,1181.40,2.08
K114970,606.00,469.20,18.60,344.47,1093.80,2.80
K115140,1614.00,469.80,50.50,309.83,2134.30,2.28
K115190,913.20,178.20,6.60,281.18,1098.00,2.37
K115200,698.40,532.80,72.60,333.84,1303.80,2.52
K115210,936.00,430.50,17.00,359.08,1383.50,2.31
K115290,856.20,481.20,105.00,310.08,1442.40,1.92
K115500,2239.80,153.00,82.20,281.94,2475.00,2.23
K115680,1767.00,366.30,69.60,593.20,2202.90,2.40
K115720,1095.60,546.30,23.00,510.58,1664.90,2.24
K115730,1317.00,73.20,46.00,239.53,1436.20,1.68
K115810,873.60,418.80,89.50,265.89,1381.90,2.32
K115890,792.60,443.40,121.20,221.03,1357.20,2.25
K115990,724.80,400.20,97.50,326.45,1222.50,2.75
K116110,1800.60,99.60,109.20,383.49,2009.40,2.30
K116250,1661.40,505.20,13.00,628.70,2179.60,2.52
K116420,1146.00,614.40,65.50,330.72,1825.90,1.92
K116500,870.00,178.50,27.60,257.85,1076.10,1.95
K116610,691.20,550.20,44.40,247.02,1285.80,2.88
K116650,686.40,487.80,85.20,385.48,1259.40,2.00
K116690,1408.80,24.30,38.50,214.10,1471.60,1.81
K116770,963.60,342.00,60.50,284.63,1366.10,1.76
K116810,1657.20,57.30,30.00,241.29,1744.50,2.27
K117010,1248.00,36.60,124.80,248.48,1409.40,1.77
K117160,1633.80,186.90,31.50,370.52,1852.20,1.96
K117280,1428.00,201.90,61.80,348.21,1691.70,2.46
K117550,1104.60,147.30,70.80,337.26,1322.70,2.27
K117780,589.20,454.20,41.00,333.57,1084.40,2.07
K118090,1024.80,262.20,24.00,301.19,1311.00,2.21
K118110,600.00,427.20,77.40,238.37,1104.60,2.02
K118430,1402.80,458.40,94.80,237.73,1956.00,2.01
K118500,1246.20,71.70,71.50,366.85,1389.40,1.86
K118570,1692.60,275.10,45.00,467.02,2012.70,2.54
K118580,763.80,409.80,68.00,233.29,1241.60,2.01
K118740,1202.40,211.80,103.50,379.23,1517.70,2.23
K118770,798.00,202.80,42.60,227.38,1043.40,2.01
K118780,1416.00,88.80,137.40,357.40,1642.20,1.70
K118810,1030.20,210.30,66.00,358.67,1306.50,1.96
K118940,923.40,289.50,114.60,239.00,1327.50,2.23
K119010,1299.00,486.00,74.50,497.23,1859.50,2.43
K119050,1398.60,182.10,38.00,399.48,1618.70,1.69
K119150,1410.00,332.10,71.40,496.67,1813.50,2.14
K119220,1471.20,428.70,35.00,226.80,1934.90,3.17
K119230,1557.60,115.80,115.20,585.81,1788.60,2.53
K119300,809.40,237.00,161.40,313.48,1207.80,1.95
K119460,960.00,424.20,5.00,345.42,1389.20,2.21
K119520,1232.40,548.70,20.40,525.42,1801.50,2.06
K119610,1444.80,378.90,4.80,530.17,1828.50,1.70
K119650,1989.00,386.40,75.00,718.66,2450.40,1.71
K119660,1416.00,482.10,33.60,614.04,1931.70,2.17
K119830,1244.40,518.40,160.80,362.17,1923.60,2.85
K119840,888.60,103.80,66.60,339.64,1059.00,1.69
K120060,879.60,87.90,52.00,302.01,1019.50,1.73
K120070,979.20,249.30,65.40,404.68,1293.90,2.20
K120140,636.60,393.60,25.20,235.44,1055.40,1.92
K120230,840.00,435.90,41.40,313.76,1317.30,2.88
K120240,1401.00,299.70,63.60,336.64,1764.30,2.44
K120320,1201.80,306.60,21.00,422.13,1529.40,2.23
K120420,883.20,370.20,33.00,311.23,1286.40,3.04
K120460,1823.40,442.50,60.60,524.73,2326.50,1.91
K120540,862.80,437.70,38.40,314.01,1338.90,2.73
K120600,1405.80,608.40,62.50,358.31,2076.70,2.92
K120650,2068.80,359.40,78.60,180.56,2506.80,1.90
K120720,666.00,539.40,16.80,239.33,1222.20,2.35
K120760,1455.60,8.70,103.80,326.05,1568.10,1.62
K120840,919.80,482.40,52.20,402.51,1454.40,2.46
K121210,993.60,707.70,32.40,232.12,1733.70,1.74
K121270,891.60,42.90,85.20,186.40,1019.70,1.64
K121440,866.40,261.30,115.80,181.73,1243.50,1.69
K121540,1146.60,298.20,133.20,314.40,1578.00,2.37
K121740,1552.20,394.50,47.40,554.18,1994.10,1.70
K121760,910.20,389.10,75.00,191.33,1374.30,2.89
K121890,1511.40,560.70,100.80,315.93,2172.90,3.00
K121970,1166.40,232.80,139.50,265.62,1538.70,2.38
K122010,1210.20,58.50,39.00,194.09,1307.70,2.60
K122110,1222.80,213.60,13.80,425.45,1450.20,1.62
K122140,1410.60,261.90,14.40,469.10,1686.90,2.42
K122230,984.60,72.90,51.60,294.35,1109.10,2.81
K122290,649.20,373.20,84.00,204.95,1106.40,3.11
K122410,1713.00,425.70,73.20,350.63,2211.90,1.89
K122520,1047.00,207.90,63.00,203.80,1317.90,2.35
K122630,1123.80,112.80,42.00,316.81,1278.60,2.44
K122770,2376.00,429.60,28.00,511.39,2833.60,2.44
K122860,1002.60,222.30,25.20,389.15,1250.10,1.81
K123020,1170.00,177.60,105.60,220.96,1453.20,1.99
K123060,1486.20,260.70,40.50,503.54,1787.40,2.17
K123170,1625.40,105.90,63.00,262.33,1794.30,1.96
K123300,999.00,93.90,32.40,267.35,1125.30,1.99
K123410,2442.00,232.80,57.00,527.41,2731.80,2.85
K123630,1065.00,749.40,92.40,493.07,1906.80,2.02
K123650,1793.40,101.10,55.20,637.25,1949.70,2.45
K123780,994.80,768.60,113.40,426.62,1876.80,2.59
K124030,811.20,330.90,68.00,192.26,1210.10,2.94
K124210,1144.20,644.10,37.20,334.25,1825.50,2.04
K124240,1724.40,436.80,100.80,651.78,2262.00,1.88
K124250,925.80,118.80,102.00,355.31,1146.60,2.85
K124340,1162.20,30.30,33.00,254.75,1225.50,2.44
K124380,1083.60,64.20,46.00,205.57,1193.80,1.97
K124400,821.40,143.10,43.20,267.19,1007.70,2.12
K124530,1459.20,238.20,115.00,384.64,1812.40,1.85
K124590,988.20,351.00,25.20,371.31,1364.40,2.47
K124670,1344.60,657.60,102.60,688.44,2104.80,1.82
K124680,1215.00,148.20,44.40,184.76,1407.60,1.70
K124960,1231.80,603.90,29.40,191.44,1865.10,2.76
K125020,1422.00,375.00,13.20,354.97,1810.20,2.22
K125040,1366.20,286.80,31.80,215.49,1684.80,2.95
K125060,1354.20,81.60,31.20,374.20,1467.00,1.88
K125120,1174.80,162.90,142.80,319.23,1480.50,1.86
K125150,832.20,598.20,62.50,240.61,1492.90,2.21
K125270,1344.60,318.90,87.00,351.09,1750.50,2.57
K125320,886.80,156.00,64.80,254.69,1107.60,3.06
K125410,1201.20,580.50,25.00,201.30,1806.70,2.08
K125490,1375.80,310.50,9.60,291.65,1695.90,2.64
K125640,947.40,158.70,43.80,194.88,1149.90,2.56
K125820,807.60,391.80,80.40,186.58,1279.80,2.64
K125850,1125.60,442.50,54.60,445.53,1622.70,2.29
K125910,1042.20,213.00,49.80,304.45,1305.00,2.33
K126200,693.00,391.80,32.00,316.70,1116.80,3.24
K126220,807.60,267.90,44.40,359.86,1119.90,3.61
K126320,679.20,518.10,24.60,345.20,1221.90,3.66
K126480,1323.00,293.10,145.80,205.85,1761.90,2.47
K126680,826.20,450.60,70.80,267.32,1347.60,3.05
K126700,2371.20,186.90,24.60,573.27,2582.70,2.54
K126790,904.20,470.70,99.00,314.39,1473.90,3.24
K126830,1108.80,578.10,111.60,513.59,1798.50,2.44
K126870,997.80,306.90,28.80,284.75,1333.50,2.53
K126910,1369.80,178.20,67.20,294.61,1615.20,2.91
K126920,1349.40,140.70,40.80,241.26,1530.90,1.89
K126940,675.00,476.10,74.40,361.83,1225.50,2.33
K127050,1530.60,195.90,43.00,376.45,1769.50,2.52
K127080,2424.00,576.60,7.50,469.21,3008.10,2.70
K127200,1426.20,876.30,81.00,265.08,2383.50,1.84
K127330,1116.60,255.00,41.40,423.95,1413.00,2.28
K127410,923.40,807.30,72.60,481.64,1803.30,2.65
K127500,799.80,274.50,54.00,328.03,1128.30,2.46
K127710,609.60,432.00,14.00,343.16,1055.60,2.74
K127950,669.00,325.50,90.50,246.66,1085.00,2.67
K128040,1297.80,720.60,15.60,282.30,2034.00,2.52
K128050,1145.40,134.70,48.00,422.69,1328.10,2.61
K128160,1470.00,663.90,15.00,444.63,2148.90,3.25
K128250,1754.40,240.60,43.80,543.55,2038.80,2.87
K128280,1200.00,169.20,31.50,452.74,1400.70,1.62
K128360,938.40,97.80,110.40,293.18,1146.60,2.80
K128370,1007.40,636.60,67.20,415.00,1711.20,2.81
K128420,1471.20,363.90,66.60,239.40,1901.70,2.50
K128460,2442.00,872.70,108.60,441.40,3423.30,1.77
K128470,1313.40,74.70,99.50,451.39,1487.60,2.66
K128680,2846.40,159.90,34.80,531.63,3041.10,2.01
K128740,979.80,90.30,22.80,232.01,1092.90,2.91
K128750,783.00,226.80,22.00,230.89,1031.80,1.94
K128800,1165.80,101.40,57.00,395.62,1324.20,2.81
K128900,863.40,240.60,18.60,356.79,1122.60,3.30
K128920,1559.40,228.60,25.00,551.86,1813.00,1.66
K128980,838.80,206.10,12.50,328.23,1057.40,2.49
K129020,887.40,523.50,55.80,248.54,1466.70,2.16
K129040,1188.60,286.50,87.00,238.88,1562.10,1.88
K129110,1122.60,321.00,63.00,429.66,1506.60,2.29
K129190,962.40,788.70,38.40,353.54,1789.50,2.05
K129250,1147.80,805.80,16.80,535.77,1970.40,2.53
K129270,1048.20,862.20,12.00,186.66,1922.40,2.42
K129400,1473.60,55.20,97.50,485.77,1626.30,1.98
K129440,1621.80,270.60,98.40,507.33,1990.80,1.92
K129490,1174.80,533.70,31.80,271.59,1740.30,2.61
K129500,736.80,397.20,123.60,350.12,1257.60,2.80
K129520,850.20,259.50,42.00,337.82,1151.70,3.22
K129630,1224.00,114.60,5.50,243.59,1344.10,1.95
K129690,1857.00,224.10,111.00,195.53,2192.10,2.07
K129880,1203.00,62.40,66.00,265.63,1331.40,2.07
K129910,1216.20,301.80,25.20,377.96,1543.20,2.44
K129930,1150.80,226.20,29.40,419.82,1406.40,1.71
K129950,1321.20,207.60,38.40,233.37,1567.20,2.68
K130110,1083.60,514.20,74.50,533.95,1672.30,2.31
K130160,1074.60,73.80,14.50,243.63,1162.90,1.98
K130210,855.60,201.90,70.00,245.82,1127.50,1.77
K130370,1177.20,610.20,46.20,214.51,1833.60,3.11
K130390,998.40,439.80,34.20,227.52,1472.40,2.68
K130500,1428.00,575.10,3.60,360.68,2006.70,2.36
K130520,927.60,83.40,33.60,334.65,1044.60,2.10
K130630,1684.80,193.20,100.50,463.95,1978.50,2.19
K130830,658.80,362.10,82.80,342.41,1103.70,1.93
K130860,2206.80,384.30,100.50,713.82,2691.60,2.02
K130940,1366.80,513.90,19.20,417.33,1899.90,2.14
K130950,743.40,261.30,61.80,350.13,1066.50,2.73
K131020,1620.00,491.10,90.00,437.32,2201.10,2.53
K131120,1542.60,289.50,66.00,242.10,1898.10,1.99
K131230,1159.20,198.00,34.80,352.90,1392.00,1.91
K131450,1561.80,168.90,44.00,387.97,1774.70,2.00
K131520,1066.20,164.70,34.20,376.07,1265.10,1.98
K131740,1243.20,300.00,40.00,200.26,1583.20,2.02
K131830,1034.40,325.80,14.00,424.81,1374.20,2.48
K132090,696.60,449.70,61.80,278.91,1208.10,2.11
K132200,841.80,361.50,22.20,388.67,1225.50,3.83
K132280,1112.40,480.60,52.80,262.17,1645.80,4.33
K132330,1472.40,110.10,4.50,444.13,1587.00,4.90
K132420,662.40,375.60,13.80,294.06,1051.80,6.41
K132460,1740.60,176.40,23.00,603.47,1940.00,4.26
K132540,1270.80,87.00,44.40,416.89,1402.20,4.87
K132560,803.40,502.20,9.00,328.74,1314.60,2.51
K132620,671.40,342.00,32.00,317.91,1045.40,4.49
K132640,1385.40,455.70,38.00,332.47,1879.10,7.73
K132680,1382.40,516.30,26.50,215.59,1925.20,4.71
K132870,1342.80,229.50,90.60,438.76,1662.90,4.79
K132960,1971.00,139.50,23.50,536.50,2134.00,2.92
K133010,2056.20,105.00,67.20,700.20,2228.40,3.20
K133060,913.80,585.00,46.00,344.64,1544.80,5.18
K133110,1188.60,496.20,47.40,180.61,1732.20,4.80
K133130,680.40,450.00,137.00,324.68,1267.40,3.10
K133270,1333.80,427.80,9.50,488.50,1771.10,4.76
K133280,2507.40,112.20,44.50,869.39,2664.10,3.63
K133290,1537.80,633.60,75.00,239.77,2246.40,4.23
K133300,827.40,471.90,26.00,433.47,1325.30,3.00
K133320,757.20,621.00,42.60,307.17,1420.80,3.40
K133380,895.80,563.10,39.00,216.02,1497.90,9.92
K133450,715.20,411.60,43.80,302.18,1170.60,3.69
K133510,848.40,320.10,167.40,335.81,1335.90,4.91
K133580,945.00,503.70,52.50,416.51,1501.20,6.73
K133620,1801.80,364.80,53.40,669.55,2220.00,4.81
K133780,996.00,130.20,26.00,283.90,1152.20,7.11
K133840,1470.60,209.10,49.20,208.51,1728.90,3.42
K133850,1359.00,72.90,101.40,454.51,1533.30,3.40
K133890,972.60,205.20,41.00,337.23,1218.80,5.92
K133930,634.80,548.70,13.50,319.52,1197.00,2.59
K133980,786.60,363.00,37.80,372.72,1187.40,3.60
K134510,1002.60,433.50,34.00,368.88,1470.10,8.03
K134560,1158.60,113.10,61.20,300.28,1332.90,4.63
K134810,1596.00,604.80,39.00,453.24,2239.80,8.23
K134890,938.40,157.80,30.60,207.13,1126.80,6.67
K134940,632.40,375.60,63.00,226.02,1071.00,6.12
K135030,615.60,519.00,93.00,269.46,1227.60,3.02
K135060,1970.40,229.20,50.40,187.47,2250.00,5.83
K135150,1730.40,303.30,9.50,572.01,2043.20,4.24
K135190,1335.00,705.90,34.80,491.97,2075.70,4.64
K135260,1207.20,253.50,13.80,467.21,1474.50,5.25
K135310,636.60,600.00,15.00,364.32,1251.60,6.73
K135330,1003.80,328.50,57.00,217.89,1389.30,4.79
K135430,1069.80,785.70,62.50,209.33,1918.00,2.98
K135470,1387.20,54.60,73.80,383.36,1515.60,5.85
K135620,1909.20,127.80,20.50,455.58,2057.50,3.18
K135860,1130.40,66.60,82.80,231.55,1279.80,5.59
K136170,1027.20,512.40,42.50,292.22,1582.10,4.84
K136420,1449.60,321.90,85.80,438.22,1857.30,4.63
K136630,700.20,370.50,24.00,224.53,1094.70,6.97
K136670,1510.20,255.60,85.50,605.75,1851.30,4.41
K136740,1114.20,112.20,144.00,210.67,1370.40,5.19
K136790,1473.60,179.70,97.80,280.86,1751.10,3.39
K137000,882.60,604.50,40.00,456.22,1527.10,3.68
K137040,682.20,549.60,84.60,374.34,1316.40,5.01
K137150,1381.20,298.50,46.20,239.90,1725.90,5.11
K137160,1055.40,156.90,45.50,252.35,1257.80,7.62
K137180,1034.40,18.90,22.20,239.14,1075.50,3.09
K137190,1420.20,35.10,3.00,263.48,1458.30,3.95
K137270,1030.20,298.50,38.40,288.50,1367.10,6.24
K137490,2327.40,8.40,61.20,466.92,2397.00,6.70
K137550,2400.00,267.90,94.00,305.41,2761.90,5.73
K137850,1638.00,321.90,55.80,318.35,2015.70,5.46
K137950,770.40,424.50,139.80,285.32,1334.70,3.48
K138170,949.20,404.10,18.00,285.70,1371.30,3.23
K138300,1236.60,30.30,33.00,388.44,1299.90,6.95
K138340,1768.20,51.60,132.00,315.31,1951.80,3.07
K138480,1304.40,376.50,120.00,205.91,1800.90,4.20
K138500,968.40,475.20,63.50,380.62,1507.10,2.74
K138810,2436.00,148.20,82.80,333.09,2667.00,3.74
K138870,1624.80,520.80,20.40,277.37,2166.00,6.75
K138980,1132.80,153.90,40.20,277.81,1326.90,14.91
K139330,1133.40,112.80,19.20,205.61,1265.40,7.62
K139360,1864.20,165.60,126.00,460.56,2155.80,3.93
K139520,1503.60,300.00,14.00,399.64,1817.60,4.59
K139660,935.40,355.20,19.80,367.01,1310.40,4.53
K139770,778.20,319.50,74.40,246.81,1172.10,3.89
K139980,1214.40,372.00,14.50,421.06,1600.90,19.52
K140070,1213.20,111.60,10.80,407.81,1335.60,7.72
K140090,658.20,469.80,11.40,180.41,1139.40,5.75
K140250,1090.80,735.00,15.00,524.71,1840.80,6.82
K140350,699.60,539.70,30.00,213.33,1269.30,8.41
K140380,2143.20,493.50,20.00,769.05,2656.70,6.28
K140420,1557.60,329.10,33.60,483.99,1920.30,7.56
K140440,1260.60,341.40,44.40,344.32,1646.40,3.54
K140490,1311.60,293.70,51.60,186.21,1656.90,3.53
K140670,967.20,330.30,40.20,222.79,1337.70,5.25
K140720,1179.60,147.90,27.00,298.36,1354.50,5.99
K140740,1606.80,221.70,52.80,423.95,1881.30,7.90
K140830,759.60,333.90,104.40,243.73,1197.90,2.92
K140980,1200.00,140.10,3.60,278.35,1343.70,3.70
K141020,1609.20,54.60,141.00,494.80,1804.80,4.53
K141040,975.60,735.30,45.00,188.79,1755.90,10.97
K141110,1416.60,257.10,12.00,533.24,1685.70,3.09
K141130,1197.00,126.90,42.00,445.22,1365.90,3.76
K141140,1505.40,93.00,7.20,513.84,1605.60,3.62
K141150,852.60,154.20,42.00,237.74,1048.80,4.21
K141370,798.60,273.00,87.00,273.99,1158.60,4.97
K141420,816.60,621.90,9.00,277.99,1447.50,3.14
K141580,1039.20,258.30,40.20,249.96,1337.70,4.79
K141680,1641.60,349.20,34.80,198.98,2025.60,3.26
K141870,1190.40,425.40,13.20,457.26,1629.00,4.43
K141930,819.00,145.80,38.40,326.48,1003.20,6.78
K142030,2041.80,192.30,68.40,210.53,2302.50,8.25
K142170,1417.20,283.50,8.00,195.32,1708.70,4.15
K142400,817.80,193.20,33.60,205.88,1044.60,5.53
K142590,1080.60,594.30,99.60,309.39,1774.50,4.32
K142630,1104.00,411.00,69.00,294.09,1584.00,3.45
K142680,1119.00,647.10,22.00,456.45,1788.10,4.68
K142830,1061.40,72.00,84.00,271.66,1217.40,7.16
K142920,1467.60,112.50,70.80,387.43,1650.90,7.06
K142940,1042.80,200.70,91.50,426.80,1335.00,3.10
K142950,1557.00,330.60,23.00,298.58,1910.60,2.73
K142960,1866.60,309.30,76.80,503.77,2252.70,3.18
K143110,970.80,290.40,56.40,418.25,1317.60,4.53
K143190,1348.20,206.70,43.00,404.09,1597.90,4.30
K143240,1745.40,255.60,46.50,610.56,2047.50,3.95
K143260,646.20,377.70,38.40,207.48,1062.30,11.67
K143290,1225.80,217.20,32.40,371.89,1475.40,4.43
K143300,1459.80,224.40,119.50,277.95,1803.70,3.11
K143310,1032.00,421.80,24.60,332.70,1478.40,4.39
K143590,597.00,399.00,99.60,348.11,1095.60,3.30
K143810,1071.00,252.60,14.40,260.22,1338.00,10.21
K143860,1588.20,124.20,39.00,412.30,1751.40,9.32
K143930,1642.80,497.70,18.60,367.20,2159.10,2.94
K143940,1245.00,58.50,29.00,343.99,1332.50,3.43
K143950,1056.60,229.20,79.20,422.41,1365.00,11.28
K143960,1110.00,556.20,134.00,335.75,1800.20,5.16
K144020,1041.00,102.90,121.50,378.74,1265.40,8.91
K144070,751.80,304.80,84.00,373.18,1140.60,4.24
K144100,1083.00,517.80,85.50,403.26,1686.30,4.38
K144110,2352.00,896.10,132.60,728.71,3380.70,5.01
K144200,700.20,525.60,33.60,325.57,1259.40,3.27
K144290,1353.60,443.70,63.00,428.44,1860.30,4.13
K144300,1204.80,55.80,22.20,392.24,1282.80,8.67
K144350,995.40,218.40,51.00,306.92,1264.80,2.68
K144450,1210.80,348.00,89.40,422.38,1648.20,3.38
K144530,1398.60,497.40,63.00,406.15,1959.00,4.36
